title|description
Anna Karenina (2012)|"Anna's affair and initial attraction with Vronsky begins with a dance (somewhat sensual) at a ball. Anna finally falls for him, and they consummate their relationship. Their sex scene isn't as explicit as one would expect; we see both their bare shoulders and Vronsky's torso, and several close up views of their faces as they passionately kiss and move sexually; all during a montage of Anna going to his house for this encounter.Another scene shows the couple clothed, lying in a forest (at a picnic), and after some suggestive dialogue, Anna climbs on top of Vronsky and begins to move slowly, sensually, and explicitly, as he responds. There are also close ups of Anna licking Vronsky's lips and face, as they begin to have sex and the scene fades out.We see Vronsky nude from the side briefly (his backside is seen partially) as he lies next to a nude Anna (who is covered by bedsheets).Sexual dialogue is present throughout the script, as Oblonsky admits to having affairs outside of his marriage, and a man lives with a prostitute, saying she is his wife. Costumes reveal cleavage, and Anna is briefly seen changing (we see her bare upper back). A woman is seen breastfeeding a baby, although this is very brief and doesn't reveal much nudity. Anna is called a ""slut"" in front of many people. Karenin takes out a box several times during the movie which looks like it contains a reusable condom. It may imply that he and Anna have sex."

Anomalisa (2015)|"An explicit and lengthy sex scene takes place. Graphic nudity is present throughout this scene.Simulated sexual activity is depicted, but not excessive.The film contains a sexual scene where the protagonist is seen to kiss a woman and undress her before performing oral sex on her, with her guidance.He then moves on top of her, they both undress, and he manually places his penis inside her vagina, and the two engage in sexual intercourse for a period of time until they both climax. This is shown in a single, lingering wide shot, with thrusting clearly depicted and realistic sexual moans.The film also contains a scene where the protagonist stares out of the hotel window and sees a man masturbating in front of a computer screen.In addition, the film contains depictions of both male and female full frontal nudity (with clay puppets). In all instances where nudity is encountered, details such as the genitalia and bare breasts are visible.One example, taking place after the sexual intercourse stated above, the couple lie side by side, with full frontal nudity of the woman clearly visible. This is not shown in close-up.Another example is shown when the main protagonist comes out of the shower, and full frontal nudity is shown for an extended period of time, although never in close-up, and not in a sexual context.A scene also depicts the main protagonist going into a shop that sells sex toys, with the intention of getting a toy for his son. Dildos and other sexual paraphernalia are seen clearly throughout the shop, and the man is transfixed on a Japanese vintage doll, that realistically depicts the female anatomy, with upper frontal nudity visible on one half.The main protagonist gives the toy to his son later, where he comments that something is being secreted out of it, and his mother says it is ""just a liquid""."

Ant-Man (2015)|In one scene a character refers to 'the first boobs I ever touched'Ant-Man contains infrequent mild sexual references.

Antichrist (2009)|Real sex between actors.Nudity of both main characters including bare buttocks and breasts. Also pubic hair is shown. The woman walks nude her vagina and pubic hair is shown.A couple have sex in slow-motion black and white, moaning is not audible. Legs and shoulders up are mainly shown, but there is a close-up shot of genital penetration for about 5 seconds. Eventually they climax. This scene is NOT simulated.A nude woman straddles her husband as they thrust in a scene before he chooses to stop, causing her to run outside. She masturbates, gasping heavily (full-frontal nudity shown in close-up). Then her husband (or an illusion) crawls on top of her and they continue.A woman stimulates a man's penis which is clearly visible as is the ejaculation, Please see Violence/Gore sectionA woman holds scissors to her vulva, then to her clitoris, both which are depicted clearly, Please see Violence/Gore sectionTwo scenes of mostly clothed sex (one shows the man's buttocks). A man and woman playfully roughhouse, not too drawn-out.

Apocalypto (2006)|A man and a woman scream from inside a hut, they run out, the man holds his genitals (his bare buttocks are visible and the woman's bare breasts are seen), and the woman gags and gasps -- a man had given the man a leaf to rub on his genitals saying that it would help him father a child but it apparently burned when applied.The native costumes for men are loincloth type bottoms that reveal bare buttocks and bare chests and several women are shown bare-breasted. Non-sexual or graphic, with very little detail. The movie isnt even rated for nudity, so this is very mildWe see a few women with bare breasts and a couple have children nursing.A man is intimidated to eat pig testicles while being ridiculed about not being able to father a child.

Appleseed Alpha (2014)|Duenan's outfit shows a lot of cleavage.There is a brief sexual reference to prostitution

Arabian Nights (1942)|

Are You Here (2013)|At the start of the movie, it is implied that a man has paid for a prostitute. Towards the end of the movie, the man receives a voicemail from an agency asking if he would like another woman at a price.Man and woman have sex. Kissing is seen, and the woman takes off her top and is seen in her bra. The scene lasts about 15 seconds. Nothing else is shown in this scene. The next scene, the man gets out of bed topless and has a bath-towel around him. Later three people discuss the scene in explicit detail.Female nude Breast seen multiple times.Very brief bathroom scene, (Angela) topless and bare butt shown for about 10 secondsMale character runs around naked only bare butt is seenCharacter observes female (Attractive Neighbor) naked for 15 seconds from afar, topless, lower area briefly visibleGirl (Victoria) gets out of bed topless scene for like 10 seconds

Around the World in 80 Days (2004)|A man rips open his clothing and says that a shark 'Got 'em both in one bite', which initially appears to be referring to his testicles but later turns out to be his nipples.Repeated reference to polygamy. Kissing.There is a scene where two men enter into an impressionist art gallery and we can see three paintings of nude women in the background. Two of the paintings we see briefly, but there is another painting that can be seen frequently throughout the scene.There is a scene where Jackie Chan is trying to get back into the hot air balloon and he is hanging onto a rope as he is being lifted up the side of a building. During this scene he looks into a room filled with scantily clad women (no nudity). The scene is for a few seconds.Jackie Chan bumps into a statue of a nude man covered by a leaf. He is hanging on a rope from a hot air balloon and while it is rising his pants are caught on the statue and are pulled down, to reveal boxers.In one scene the main character is caught looking at a woman's stockings for a brief second.There is a scene where the travelers enter a mansion and there are several different statues of nude women in the background. Suggestive belly dancers are shown, both in the foreground and background, moving suggestively. During a hot tub scene, the female lead wears only a low corset and bloomers. The same scene contains thinly-veiled double entendre. There is also another male statue covered by a leaf.Later in the movie, a character is said to have been imprisoned for urinating in public, and later attempts to do so again (only to be hauled off to confinement before he succeeds).

Arthur (2011)|Upkilt photograph of blurred out prosthetic penis.A man pretends to put oranges in his shirt and act as though he has big breasts.A man takes of all his clothes apart from his pants, he is completely topless.A man is seen topless in the bath.Some mild references. One explicit one.

Assassination Classroom (2015)|

