title|description
American Pie Presents: Band Camp (2005 Video)|Stage curtains fall down and we see Matt peeing in a sink, his bare butt is visible. Matt strips naked in front of 4 girls, his bare chest and buttocks is visible. A brief view of a handful of girls in the shower - on a video. Breasts seen. Two girls in the bathroom, breasts and butt seen.

Salò|

American Pie Presents: The Naked Mile (2006 Video)|During a competition scene, buckets are hung by two guys' erections, and two girls pour beer over their genitals into buckets. Eventually one of them is aroused to the point of orgasm. His girl slaps his back and he ejaculates into the crowd watching. Semen is shown spraying into the faces and hair of several girls. There are fewer spurts in the r rated version than unrated. No nudity is shown. In a second competition, rings are thrown onto their penises (still no genital nudity). An aggressive sorority girl forces a guy to have sex. She tortures him with a whip and a vibrator. Her butt and breasts are shown. When they run the naked mile there are lots of topless and fully nude men and woman, the scene goes on for about 20 minutes. There are scenes of clear female frontal nudity but no male genitals. Constant sexual dialogue A man and a woman have sex while standing up They talk about masturbation and show a scene of a man masturbating but without showing genitals Several guys takes Viagra. The outline of their erections are shown through their boxers. There is a scene of a man and a woman together putting a condom on his penis, but without showing genitalia. When they run the naked mile you see 6 or 7 naked women (no genitalia, partial nudity only) - one scene in particular focuses on a slow-motion capture of a woman's breasts while she's running. Some versions of the film do not show any full frontal nudity of males or females. No genitals are seen. In the beginning, Ryan is shown in bed with two girls, he kisses the girls and then the girls kiss each each other. The girls' breasts are shown. Stifler is seen coming out of a girl's house and it is implied that they had sex. She is wearing a robe, her breasts are visible, but not her nipples. The robe may be considered to be a little see through.

The Blue Lagoon (1980)|In the nude swimming scenes, Richard's penis can be seen. Richard is frequently seen in a very revealing loin cloth type underwear for most of the film. In some scenes Pubic hair can be seen sticking out from the Loin cloth. In one scene, the two characters are seen sitting nude eating native fruit. They proceed to kiss, and the male climbs on top of the girl, and butt is seen for a lengthy period. During the breastfeeding sequence it is implied that Richard sucks the breasts of Emmeline, Richard can be seen looking at her breasts, then him slowly moving down her body The two main Characters of the movie are cousins, as the movie progresses they fall in love, have sex and accidentally make a baby. Even though being in a relationship with cousins is consisdered taboo nowadays. Back in the 18th century when the film is set it was perfectly normal and common for people to do this. This is a story of natural love, since the main characters are shipwrecked, even though the information displayed also here might be considered graphic or shocking. This is what would really happen if a situation like this would occur, since the characters don't know what love psyically or mentally is, since they were shipwrecked from a young age. A teenage girl has her first period. Being on a deserted island since youth, she did not understand what was happening. There are several sex scenes throughout the movie some more graphic then others, since Brooke Sheilds was a minor at the time the scenes are not overly graphic. After these scenes there is generally kissing, hugging, them laying on one another, touching, and kissing various parts of their bodies, specifically when Emmeline is slowly kissing down Richard's bare chest. Throughout the film the two leads look at each other in light sexual ways, which the girl remarking how she was looking at his muscles, they also spy on each other. And at one point while the girl is sleeping, the boy goes over to her and starts smelling her hair, the girl wakes up before he can do anything more. Full frontal nudity of Brooke Shield's body double. Pubic hair and in some scenes her vulva can be seen as she spreads her legs and swings underwater but it is hard to see. In some of the other earlier scenes, the children versions of the two characters show full frontal nudity as well. The girl's pubic region is shaved and her genitals can be seen clearly in mild detail. Richard gets out of the sea naked and walks toward the camera. His whole body is silhouetted, yet his penis is quite visible. Significant nudity, both male and female, often full frontal, but most of the time it is in underwater swimming sequences, breasts and genitals seen in all swimming scenes. Pubic hair is clearly visible on Richard in and out of water There is a masturbation scene. This scene is viewed from behind, and a reasonable distance away, Richard arm is seen moving up and down, before he is interrupted. There is a lovemaking scene, which actually is spaced out into several short scenes. In one shot, filmed from extremely far away, the couple is seen making love in an inlet, with water splashing against them and the rocks. There is a childbirth scene. There is a breast feeding scene. The son is nude for the rest of the film doing what toddlers do on deserted islands.

American Pie Presents: Beta House (2007 Video)|"A man performs oral sex on a woman she moans loudly and ejaculates on the man's face comedic effect. There is a lot of graphic nudity throughout the entire film. A topless girl exits the shower (she is fully nude in the unrated version) in a co-ed bathroom. A man using a urinal urinates on himself by accident while ogling her. There are several party scenes where girls dance seductively, sometimes topless. There are a couple of scenes at a stripper club. Strippers dance topless. Two strippers give two men a lap dance (there are topless in the unrated version). A man goes to a sex addicts anonymous meeting with the intention to seduce a woman who is trying to quit having sex. You see a man run away from a nude girl because of her excessive sexual aggressiveness. A woman paints herself green and dresses up as an alien while having sex with a man. Two men have a contest to see who can unstrap the bras off a row of girls the fastest (once again the breasts are all clearly seen on both rows of girls). A girl tells her boyfriend that she's not wearing any panties and he begins to push his finger in and out of her dress. In the beginning Erik's father gives him a list of any girl he's ever ""banged"" When Erik walks into his dorm room, a man and a woman are seen having sex. The woman is thrusting on top of a man. Her butt and breasts are seen throughout the whole scene. The man has a conversation during. The man is seen oiled up and tied to the bed. The scene is very graphic. A nude woman chokes on her gum and Erik has to save her. It looks like he is thrusting into her. Then Erik's father walks in and cheers him on."

Cannibal Holocaust (1980)|There is a lot of nudity displayed throughout this movie including genitals and full frontal nudity and back. A man takes off all his clothes and goes into a lake. Several nude native women come out from behind a bush and join him. They are seen touching him, including touching his genitals as he exits the lake. In more than one instance a character is seen naked while being beaten or killed. See violence & gore for more details. In a slightly disturbing prolonged sex scene, a couple is seen having sex at the site of a hut they previously burned down which killed multiple people. Buttocks, breasts, and a brief shot of pubic hair are seen as well. A group of people tease eachother in a scene when a couple of them who are implyed they just showered, their towels are pulled away exposing full nudity (not sexual). They then try to get their towel back. Couple scenes depicting violent sexuality/rape. These scenes are disturbing for obvious reasons including that some appear to be real and are often followed up with graphic violence. See violence & gore for more details. A man removes his clothing and stands in the open fully nude and calls out to get the natives attention. The natives are spotted and a gun is fired to scare them away. He then puts back on his clothing. NC-17 for explicit aberrant violence and grizzly disturbing images

American Pie Presents: The Book of Love (2009 Video)|A guy fantasizes about several topless women giving him and another guy blowjobs. Their breasts are shown. A woman takes her top off, revealing her breasts, which a guy fantasizes growing much bigger (CGI effect). A boy & a teacher draw images of a cheerleader (which is nude in both drawings). Jennifer Holland is seen in multiple fantasy sequences, wearing revealing cheerleader and leather outfits and kissing other women in a lingerie scene. She and a guy go into a dressing room and she takes her shirt off. We see her breasts.

Blue Is the Warmest Colour (2013)|Emma paints Ad�le naked. The camera slowly pans over Ad�le's naked body. You clearly see her completely shaved vulva and clitoral hood in close up, as well as her breasts. The camera cuts to a more distant shot of Ad�le lying with her legs spread and her entire vagina clearly visible. This is the only scene with actual genital nudity. There is a lot, and I mean a lot, of sexuality. It should be noted that the sex between the two women is simulated and prosthetics are used; nevertheless, it is shot realistically and still very explicit. The are multiple explicit love scenes between two women with graphic nudity. The most explicit scene lasts nearly 7 minutes. The 2 women kiss passionately and strip nude, and suck on each others breasts. They are shown performing explicit cunnilingus on each other for an extended period (with vulva briefly visible) of time from several positions, including sixty-nine and from behind. They then finger each other graphically before climaxing. A young man and woman have sex. They are fully nude (with her breasts and buttocks visible, and his buttocks and genitals momentarily visible) as the woman thrusts on top of him. They kiss passionately and the man rolls over so he is on top. He thrusts until they both climax. At one point, his penis is seen on her leg. This scene lasts around two minutes. Added: At the end of the sex act, the woman separates from the man and his still-erect penis is clearly visible in a relatively close-up view for a few seconds.

Saw IV (2007)|A video of a man raping a woman is shown; the woman is strapped to a bed (she is heard screaming and whimpering through a gag), the man (he is wearing clothes) climbs on top of her, makes crude sexual remarks, and begins thrusting. In a room there are several pictures of the women a rapist previously assaulted; some of the women have facial wounds. A nude dead man is seen on a table in a morgue; his genitals are shown. A man is shown barechested while wearing his boxers.

A Clockwork Orange (1971)|A man forcibly strips down a woman, nudity is shown, and it is heavily indicated that he is going to rape her but the scene cuts before that happens. The opening scene features several anatomically correct, nude, female mannequins in homosexual poses with each other. A bare breasted woman is shown in a live example in front of an audience to show the main character has been reformed and no longer has sexual thoughts. Two men flirt with another man at church (winking, leering, and making kissy noises). They get rebuked, but they keep doing it anyway. There is explicit graffiti all over the main character's apartment lobby. The main character has a dream sequence about two bare-breasted women on each side of him as one feeds him grapes. Rated R for sadistic brutal violence including rape, disturbing behavior, strong sexual content, graphic nudity, and some language Parents need to know that this film originally had an X rating, but that has since been changed to R, but there is still very graphic content. A gang of boys chase a woman and strip her down and swing her over a mattress implying gang rape. They laugh at her and humiliate her while grabbing her body. They are interrupted by a rival gang leading to a fight. The woman escapes. Nudity is graphic, and severe and very unsettling. There is a sex scene where a man has sex with two women but the scene is sped up so nudity and actions themselves are blurry. A lot of it is just them rolling around on the bed. A house is full of erotic art, including a large phallic sculpture. It looks like a large white blob and features little detail. A nurse comes out from behind a curtain where she was having sex, with her blouse open and her breasts revealed. During a psychological test, there is a drawing of a nude woman in bed.

Hostel (2005)|Man jacks off to porn on computer There are many sexual scenes in the first half including topless or fully nude women. A man and woman have sex in bed: the woman thrusts on top of the man (her bare breasts and the side of her buttocks are visible; no male nudity). Two men with two women have sex in separate beds in the same room: the women thrust on top of the men and their bare breasts and buttocks are visible. A man thrusts with a woman in a restroom stall (her bare breasts are visible); he photographs his actions on his cellphone and sends it to his friends. Men walk past windows where scantily clad women pose and invite them inside: when they go in silhouettes are seen and people are heard having sex in different rooms, and a man opens one door when he hears someone being slapped and finds two people having sex (a woman is seen on top of a man who is strapped down; she is wearing leather straps and her bare breasts and buttocks are visible). Three men and two women sit in a spa together (the men have towels around their waists and the women are fully nude, revealing their breasts and pubic region); they talk, and one man opens his towel to show another man his genitals after talking about having shaved a part of his body. Two nude women dress as three men enter the room. A man goes into a room in a brothel, a woman in the room invites him in; she removes her bra revealing her bare breasts, and her buttocks are visible. A man shows three men photographs of fully nude women (their breasts and pubic region are visible). A man takes a picture of another man's bare buttocks with a face drawn on it.

Eyes Wide Shut (1999)|"Heavy flirting, close slow dancing, and sexual talk between a man and a married woman. Nicole Kidman's bare butt is shown twice for reasonable time, including in the opening scene. Please note that the explicit sex scenes are not meant to titillate or arouse; love scenes are actually quite devoid of love, as there is very little moaning and essentially no intimacy. Scenes with sexual content or nudity are often accompanied by an eerie score and/or atmosphere. Despite the strong sexual content throughout and graphic nudity at times, the material is presented in an artful form, showing the negative side to lust with no intention of humor or raunch, but instead providing a disturbing and creepy atmosphere. The sexual activity in most scenes is obscured by objects or people. Most sexual activity in the orgy scene is in the background, as the viewer watches Tom Cruise's character walk through the party. Many explicit sex scenes are depicted. A private party has several moments involving orgy scenes (in the American version, explicit sex is obscured by digital means), including continuous full-frontal female nudity and several other instances of naked men. Other strong sex scenes involving male/female, male/male, and female/female that include rough sex and thrusting are shown (explicit sexual activity is obscured in the American version). During the above mentioned party, much nudity is shown. For example, early in the party, twelve women in a circle all disrobe and are wearing only masks and thongs, their breasts clearly visible. The women then walk to men, ""kiss"" them (basically touching masks), and escort them out of the main room. They are shown walking around in only the mask and thong. In the orgy scene, many woman are shown fully naked and in sexual situations; full frontal female nudity is often shown, all with masks on. As mentioned elsewhere, in the American version all direct intercourse in the party is blocked by a person standing in the way. There is also a very brief scene with couples slow-dancing where at least one member of each couple is naked, sometimes both. There are depictions of full-frontal female nudity (more prevalent) and male nudity (mostly from behind, but some full-frontal). A store owner's daughter (possibly a minor) is prostituted out to older men (no nudity, but sex is strongly suggested). This is shown across two scenes: in the first, the store owner discovers the girl with the two Asian men, all three in underwear; It may be important to note the men are wearing makeup, or are in drag. In the second scene, the three are shown exiting a back room, implying that they have had sex. A woman undresses in front of a mirror. Full-frontal nudity is shown in the mirror, but it is blurry and brief. A woman is shown unconscious on a couch after a drug overdose, full-frontal nudity shown briefly. A doctor examines a female patient. Her breasts are clearly visible. There are three brief sex scenes with the Kidman character shown as black and white flashbacks by the Cruise character, with nothing explicit shown. There are two scenes where Tom Cruise's character visits a prostitute. In the first, they end up not having sex, though it is discussed. In the second scene, her roommate is there and Cruise opens her top and feels her breasts, though no nudity is shown. A scene shows a dead woman in a morgue; her naked body is shown."

Riddick (2013)|Theatrical: Four women are in a bed naked. We see one breast and nipple of a woman, her stomach, legs and most importantly full frontal. There is some shadow provided from her legs that cover her vagina but it is still visible. This scene lasts approximately 20-30 combined seconds, with the women either in the background or being the prime focus the entire time. Extended: This entire scene is slightly prolonged with a much longer shot of the nude women on the bed with vagina completely visible; This only lasts a few seconds longer, & one of the women walks away from the bed towards Riddick, with her butt fully visible behind her clothing (brief). From a distance, we briefly see a silhouette of Riddick naked. A woman washes herself in a bathroom. She is seen topless at several points during this scene. Combined the scenes last for a few seconds. A character mentions his intent to have sex (in the context of the dialogue rape is implied) with her and then mentions watching her while she showered. A few crude sexual references are made. A male character pins a female character to the floor and licks her face. There is clear intention of rape although the scene ends shortly thereafter. Sexual innuendos and crude references are made periodically throughout the move. A man tells a woman in front of her male team members that she should have sex with a male prisoner. The next day one of the men states that he will have sex with the woman. There are several moments where dialogue either implicitly or explicitly implies rape. There is no actual sexual encounters in the movie - only references, crude dialog and a lengthy scene of nudity.

Shame (2011)|A lot of graphic sex, although you never see the penis enter the vaginal. The film opens with a man walking around his apartment completely nude. The sequence lasts a few minutes and is a continuous shot. His genitals can very clearly be seen, as well as his fully nude back. He walks around for a few minutes nude and then pees in a toilet. Nothing is obscured during this scene and he is seen peeing from behind, his penis showing between his legs. A man thrusts into a woman from behind against a window, they are fully naked and he climaxes. His testicles can be seen as he sits down afterward and the woman stands at the window, showing her bare buttocks. The woman turns around, giving a clearer view of her fully nude body. She walks to the bathroom and puts on her bra. A woman strips and is shown fully undressed as she walks toward a man. A man has hard sex with a nude woman from behind, thrusting against a hotel window. Seen from a distance for about 5 seconds. A man engages in a threesome with two women, shot in long takes in a close up shot, with him sucking on the woman's breasts and buttocks, kissing down their chests as the women pleasure each other and he thrusts vigorously from behind one of them until he climaxes. Not much is clear since the shot is extremely close-up. A woman removes her bra, she kisses and caresses a man who caresses back, but stops. Lasts about 20 seconds. Carey Mulligan is shown fully nude in a shower. Her breasts and pubic hair are on display for an entire minute. Very long scene. A man and woman have clothed sex in dark lighting. He thrusts and climaxes. A man masturbates a few times (his penis is shown briefly). The protagonist walks in the back of a gay nightclub where several couples are seen in the background engaging in various acts (obscured). He then briefly makes out with a man before having oral sex performed on him (nothing is shown), he moans and climaxes. A man briefly masturbates a clothed woman before he is interrupted. A webcam briefly shows a woman stripping and talking dirty. A woman is overheard having sex with a man, nothing shown, and the woman's brother hears this and becomes agitated. A man gets angry at a woman and climbs on top of her. He is wearing a towel and his towel falls, exposing his buttocks and his penis. Nipples shown from shirt

Twin Peaks: Fire Walk with Me (1992)|A man and a woman kiss, bare breasts are briefly shown A girl takes her top off. A man then forcefully ties her up as she protests, breasts are visible. There is a very long scene in a club with multiple women seen topless for an extended period of time. Highly sexualized.

Lolita (1997)|Brief nudity while wrestling in bed over money The film has a few scenes of strongly implied sexual intercourse with a minor, but no nudity. Implied sexual intercourse with a minor A man's genitals is seen entirely three times

Strangerland (2015)|Nicole's boobs are seen throughout most of the movie. There is a sex scene between a man and woman, they are both dressed and no nudity, but there are lots of movement and loud moaning and screaming. Talks of an underaged girl sleeping with an adult. Talks of a man abusing his child sexually. Teenage girl dresses in very revealing outfits. She is seen putting on a bikini, but from the back. In one scene a woman is seen totally naked walking in the street for a few seconds. It's from a few meters away but can be clearly seen. Scenes of kissing and making out between couples.

Nymphomaniac: Vol. I (2013)|A thing to remember is that some of the full on penetration scenes are done with CGI. But some are real, performed by porn actors, whose screen names are listed in the end credits. 10/10 It is explained that a young girl started masturbating when she was 2 years old, and includes a shot of a young girl from the neck up looking down, implying that she is masturbating. Two 6 year old girls are seen entering a bathroom and lowering their panties. They then proceed to grind their crotches into the wet bathroom floor. There is no nudity, but both are shown to be enjoying it. In the uncut version, you can see their partially obscured pubic area as they take off their panties, but it's for less than a second. In the Greek blu ray version, this scene goes on for much longer, they are interrupted by their mother. A 14 year old girl is shown losing her virginity by the hands of an 18 year old. Although the scene is short explicit shots of penetration are shown, and there is moaning. In the Greek blu ray a 9 year old girl is shown sitting in her fathers lap and grinding, he pushes her off after a few seconds, but the whole scene has a comedic tone to it. Two 16 year old girls have a competition to see who can have sex with the most men in the duration of a train ride. Two shots show men from behind thrusting, no nudity. A teenage girl enthusiastically gives a man a blowjob and spits out the semen. There are several shots of his genitals (prosthetic, per interviews) visibly in her mouth. The Director's Cut version is much more hardcore, with semen spurting out of the penis. Close-up shots of erect penises and the outside and inside of a woman's vulva. A man performs real cunnilingus on a woman. The Australian version mostly contains a constant flow of close of shots of men's penises comprising of all types of men, of different sizes, erections, and skin tone. Australian version shows no vaginal scenes.

Nymphomaniac: Vol. II (2013)|A lot of sex. Some scenes, but not all, are done using CGI and camera tricks. Example: You don't actually see a penis go into a girl's mouth when she gives oral sex. You just see the top part of her head going up and down. There is a scene where the main character attempts to have a threesome with 2 black men. As the scene progresses, all 3 are fully nude. The men end up arguing because they do not want their penises to touch while having sex with her. The Australian version is heavily modified so no vaginal shots are seen, however throughout the movie there is a constant flow of close-ups of men's penises ejaculating, all include erect and flaccid. Several instances of erect penises displayed in full view. In one scene, the main character performs unsimulated oral sex on a man. The Director's Cut version is extremely explicit, with many closeup shots of vaginal and anal penetration.

I Spit on Your Grave (2010)|SEX AND NUDITY SUMMARY: The film contains female breast and buttock nudity, much of which occurs during scenes of sexual violence and humiliation. This may be harmful to some viewers. The scene also contains some full-frontal female nudity. There is no sex in the film. See violence and gore summary for sexual violence. A woman's breasts are groped without her consent. A woman is forced to perform fellatio on a handgun. A woman is stripped from the waist down at gun point while a mentally handicapped man is forced to rape her. A man films the act with a handheld camera. Her bare hip is visible. The bare buttocks of the handicapped man is visible. A woman runs nude from the waist down for an extended period of time. A woman's clothes are ripped off of her body (her breasts and pubic area are shown). A nude woman is seen walking. A man anally rapes a woman. She is nude throughout the act. A man suggestively opens his fly over a woman's face. A woman wearing a short skirt leans suggestively over a car in order to expose her lower buttocks. A man is hung from his wrists nude. His bare buttocks are visible throughout. A man is forced to perform fellatio on a gun; a woman then castrates him and forces him to perform fellatio on his castrated penis. A man is sodomized with a shotgun. His bare buttocks are visible.

Ex Machina (2014)|There is infrequent female nudity. Mainly topless but there is some full frontal nudity Extensive and explicit full frontal female nudity exclusively. Numerous scenes objectify the nude female form in the context of creating female sex robots for men. All female genitalia is shaven and is clearly visible in multiple and lengthy scenes. A man jokes that oral sex was performed by a ghost in a film. Conversation between two males about sexual intercourse. One asks the other if he wants to have intercourse with the main female and about how it would be performed if such a case arises. A female robot lies naked on a bed for around 10 seconds. A scene shows prototypes of female robots and you can see some very brief part frontal nudity. A female robot stands in front of a mirror nude. This scene lasts about 25 seconds

I Spit on Your Grave (1978)|We see Jennifer swimming innocently in a lake, this scene shows her full frontal. In the house scene after her rape, Jennifer is wearing only a blouse that is eventually torn open after she is beaten and raped again. The entire time she is beaten, her breasts, buttocks and genitals are explicitly seen. A man rapes her following this beating. The next scene implies a man shoving a bottle inside her. Afterwards, when a man is sent in to kill the woman, she is shown lying on her back with her blouse open. Eventually the camera pans down to her pelvis. As she takes a shower by herself, Jennifer's left breast is shown for a brief scene. Jeniffer is naked as she runs between four men. Many images of her genitals and buttocks are shown, a few images of her breasts may be shown but are generally covered up by her long hair. They catch her and press her against a rock. One of the men rapes her anally (the rape is carried out with excessive force). Jennifer spends a few minutes in the bath with a man, with her body shown.

The Girl Next Door (2007)|Talk about girls touching themselves. A boy starts to put a snake between a girl's legs, but another boy un-blindfolds her and she screams. A handicapped girl's underpants are pulled down and she is spanked with a scrub brush. A girl is tied up and stripped (her breasts, vagina, and butt are seen). A boy rapes a girl from behind (no nudity seen except the girl's butt afterward).

I Spit on Your Grave 2 (2013)|A man's testicles are put into a clamp, which Katie then tightens. The penis and testicles are clearly shown multiple times throughout this scene. There is both male and female full frontal nudity. Although the female genitalia is slight obscured, the male genitalia are clearly seen multiple times A woman is raped; some nudity is shown. A man's penis, scrotum, and buttocks are shown. An imprisoned woman is shown naked. A man's testicles are electrocuted.

It Follows (2014)|"A fully nude woman is seen walking towards the main character, she displays full frontal nudity. Her breasts and pubic region are clearly shown. A woman is seen with her breast exposed. One of the boys is looking through Playpen magazine and images of topless women are shown. A woman's breast is seen in her open robe. A man stands nude on a rooftop with legs and feet spread apart in the daytime. We see full frontal nudity including pubic hair, testicles and penis. It is at a distance, however. As ""It"" is transmitted by having sexual intercourse, there are some sex scenes."

